2026-04-03 17:33:11 | INFO     | root | [44/100]trajectory angle_error: [-294.19  -161.509 -156.306  -73.63  -687.365 -108.307], begin_angle: [-272.353  -43.392  111.44   211.09  -179.011 -105.939], end_angle: [ -65.81   188.269   56.17    -0.564  327.365 -251.693]
2026-04-03 17:33:12 | INFO     | root | [45/100]trajectory angle_error: [ -80.453  110.886 -152.693 -108.927 -641.946 -469.152], begin_angle: [-201.207   17.788   73.614  107.942 -106.933 -230.403], end_angle: [-279.547   65.387  -22.307  139.058  281.946  109.152]
2026-04-03 17:33:12 | INFO     | root | [46/100]trajectory angle_error: [-431.122  224.91   -71.284  101.726  -21.389 -333.497], begin_angle: [ -13.808  232.822  -19.38   249.489  -17.575 -146.352], end_angle: [ 269.691   40.09  -103.716  163.274   60.005  201.308]
2026-04-03 17:33:13 | INFO     | root | [47/100]trajectory angle_error: [ 106.557    1.262 -246.627  323.591  121.668 -240.083], begin_angle: [ 172.989  183.34    79.142   46.667  213.676 -232.382], end_angle: [-158.033  263.738   71.627  -58.591 -202.713  -79.967]
2026-04-03 17:33:13 | INFO     | root | [48/100]trajectory angle_error: [-358.519  304.753 -149.222  227.38  -343.872  113.576], begin_angle: [  54.233  224.476  173.149    5.764 -184.65  -143.872], end_angle: [ 217.368  -39.753  -25.778   37.62    85.974 -304.687]
2026-04-03 17:33:13 | INFO     | root | [49/100]trajectory angle_error: [-208.673  348.307  -43.116  345.602  561.014 -150.803], begin_angle: [146.434 201.431 164.325  27.976 109.369  12.747], end_angle: [ 151.298  -83.307 -131.884  -80.602 -201.014 -143.979]
2026-04-03 17:33:14 | INFO     | root | [50/100]trajectory angle_error: [ 200.631  287.251 -276.913   79.935 -103.849 -400.684], begin_angle: [355.885 126.078  80.769 -22.193 155.057  69.993], end_angle: [-131.275  -22.251  101.913  185.065   51.323   40.684]
2026-04-03 17:33:14 | INFO     | root | [51/100]trajectory angle_error: [-579.014  243.253 -121.078  309.159 -216.536 -352.268], begin_angle: [-320.085  -27.297 -139.297   -7.465  165.901  -23.747], end_angle: [219.014  21.747 -53.922 -73.815  87.005 306.012]
2026-04-03 17:33:15 | INFO     | root | [52/100]trajectory angle_error: [ 116.156    1.732  -53.794  252.877  271.719 -457.147], begin_angle: [ 201.423  175.542  -67.641  101.099   49.346 -133.547], end_angle: [-207.902  263.268 -121.206   12.123 -182.003  329.553]
2026-04-03 17:33:15 | INFO     | root | [53/100]trajectory angle_error: [-693.998   71.237  -79.258  253.842  100.371  -33.827], begin_angle: [-176.876  247.047  -22.805   16.182   61.34    67.85 ], end_angle: [ 333.998  193.763  -95.742   11.158 -104.672 -113.048]
2026-04-03 17:33:16 | INFO     | root | [54/100]trajectory angle_error: [ -25.842   60.859 -132.551   95.986  103.815 -106.73 ], begin_angle: [ 327.058  145.01   103.303  238.586  -78.13  -334.309], end_angle: [ 315.095  204.141  -42.449  169.014 -294.937   73.765]
2026-04-03 17:33:16 | INFO     | root | [55/100]trajectory angle_error: [-230.396  196.946 -344.201  334.498 -286.454 -370.203], begin_angle: [-145.809  263.679   88.68   221.739 -349.523  251.594], end_angle: [ 89.533  68.054 169.201 -69.498  78.377  11.487]
2026-04-03 17:33:16 | INFO     | root | [56/100]trajectory angle_error: [ 173.302  104.662 -194.297  342.834  386.847 -401.535], begin_angle: [-17.687 185.868 -15.833 -67.235 -40.767 105.288], end_angle: [-327.801  160.338   19.297  -77.834 -301.794  151.706]
